id,order_id,name,price,quantity,datetime
1,1,Plain Papadum,0.8,2,2019-08-03 20:25:00
2,1,King Prawn Balti,12.95,1,2019-08-03 20:17:00
3,1,Garlic Naan,2.95,1,2019-08-03 20:09:00
4,1,Mushroom Rice,3.95,1,2019-08-03 20:01:00
5,1,Paneer Tikka Masala,8.95,1,2019-08-03 19:44:00
6,1,Mango Chutney,0.5,1,2019-08-03 19:42:00
7,2,Plain Naan,2.6,1,2019-08-03 19:41:00
8,2,Mushroom Rice,3.95,1,2019-08-03 19:29:00
9,2,Tandoori Chicken (1/4),4.95,1,2019-08-03 19:28:00
10,2,Vindaloo - Lamb,7.95,1,2019-08-03 19:26:00
11,2,Chapati,1.95,1,2019-08-03 19:25:00
12,2,Lamb Tikka,4.95,1,2019-08-03 19:16:00
13,2,Saag Paneer,5.95,1,2019-08-03 18:37:00
14,3,Aloo Chaat,4.95,1,2019-08-03 18:36:00
15,3,Chicken Pakora,5.95,1,2019-08-03 18:36:00
16,3,Chicken Chilli Garlic,9.95,1,2019-08-03 18:34:00
17,3,Lamb Biryani,9.95,1,2019-08-03 18:32:00
18,3,Keema Naan,2.95,1,2019-08-03 18:12:00
19,4,Chicken Pakora,5.95,1,2019-08-03 18:00:00
20,4,Plain Papadum,0.8,1,2019-08-03 17:58:00
21,4,Mango Chutney,0.5,1,2019-08-03 17:57:00
22,4,Red Sauce,0.5,1,2019-08-03 17:52:00
23,4,Korma - Prawn,9.95,1,2019-08-03 17:18:00
24,4,Peshwari Naan,2.95,1,2019-08-03 16:21:00
25,4,Pilau Rice,2.95,1,2019-08-02 20:23:00
26,5,Chicken Balti,9.95,1,2019-08-02 20:18:00
27,5,Special Fried Rice,3.95,2,2019-08-02 19:33:00
28,6,Chicken Tikka Masala,8.95,1,2019-08-02 19:19:00
29,6,Curry - Lamb,7.95,1,2019-08-02 19:14:00
30,6,Pilau Rice,2.95,1,2019-08-02 18:41:00
31,6,Peshwari Naan,2.95,1,2019-08-02 18:18:00
32,6,Plain Papadum,0.8,1,2019-08-02 17:57:00
33,7,Plain Papadum,0.8,2,2019-08-02 17:43:00
34,7,Vegetable Rice,3.95,1,2019-08-02 17:26:00
35,7,Saag - Prawn,9.95,1,2019-08-02 14:11:00
36,7,Tandoori Chicken Masala,8.95,1,2019-08-02 11:35:00
37,8,Pilau Rice,2.95,1,2019-08-01 20:42:00
38,8,Lamb Tikka Chilli Masala,8.95,1,2019-08-01 19:51:00
39,8,Peshwari Naan,2.95,1,2019-08-01 19:16:00
40,8,Saag Aloo,5.95,1,2019-08-01 18:45:00
41,9,Aloo Gobi,5.95,1,2019-08-01 18:41:00
42,9,Bhindi Bhajee,5.95,1,2019-08-01 18:21:00
43,9,Saag Paneer,5.95,1,2019-08-01 18:02:00
44,9,Mint Sauce,0.5,2,2019-08-01 17:59:00
45,9,Chicken Biryani,9.95,1,2019-08-01 17:34:00
46,9,Garlic Naan,2.95,1,2019-08-01 13:33:00
47,9,Plain Naan,2.6,1,2019-08-01 12:33:00
48,9,Tandoori Chicken Masala,8.95,1,2019-07-31 21:10:00
49,10,Plain Papadum,0.8,4,2019-07-31 20:35:00
50,10,Red Sauce,0.5,2,2019-07-31 20:11:00
51,10,Chicken Tikka Masala,8.95,1,2019-07-31 20:05:00
52,10,Madras - Chicken Tikka,7.95,1,2019-07-31 19:54:00
53,10,Mushroom Rice,3.95,2,2019-07-31 19:35:00
54,10,Garlic Naan,2.95,1,2019-07-31 19:31:00
55,10,Bombay Aloo,5.95,1,2019-07-31 19:17:00
56,11,Onion Bhajee,3.95,1,2019-07-31 19:05:00
57,11,Sheek Kebab,4.95,1,2019-07-31 19:02:00
58,11,Plain Papadum,0.8,8,2019-07-31 18:58:00
59,11,Mango Chutney,0.5,2,2019-07-31 18:50:00
60,11,Mint Sauce,0.5,2,2019-07-31 17:16:00
61,11,Onion Chutney,0.5,1,2019-07-31 13:55:00
62,11,Chicken Tikka (Main),8.95,1,2019-07-30 21:05:00
63,11,Korma - Chicken,8.95,1,2019-07-30 20:10:00
64,11,Chicken Tikka Masala,8.95,1,2019-07-30 19:55:00
65,11,Plain Rice,2.95,1,2019-07-30 18:43:00
66,11,Pilau Rice,2.95,1,2019-07-30 18:43:00
67,11,Keema Naan,2.95,2,2019-07-30 18:38:00
68,11,French Fries,3.95,1,2019-07-30 18:33:00
69,11,Chicken Biryani,9.95,1,2019-07-30 18:01:00
70,11,Mushroom Rice,3.95,1,2019-07-30 17:35:00
71,12,Onion Bhajee,3.95,1,2019-07-30 17:00:00
